final_key	disposition	source_key	match_basis	year	doi	title
ahamat2025shared	add	ahamat2025shared	no_match_after_three_passes	2025		The Shared Book Reading Corpus: An audiovisual collection of 44 multimodal caregiver-infant interactions
anh2024morphology	add	anh2024morphology	no_match_after_three_passes	2024		Morphology matters: Probing the cross-linguistic morphological generalization abilities of large language models through a wug test
Aslin1998	add	Aslin1998	no_match_after_three_passes	1998		Computation of conditional probability statistics by 8-month-old infants
aslin2007s	add	aslin2007s	no_match_after_three_passes	2007		What's in a look?
barbir2023rapid	add	barbir2023rapid	no_match_after_three_passes	2023		Rapid infant learning of syntactic--semantic links
Bergelson2017	add	Bergelson2017	no_match_after_three_passes	2017	10.1177/0956797617703430	Semantic Specificity in One‑Year‑Olds' Word Comprehension
bergelson2023everyday	add	bergelson2023everyday	no_match_after_three_passes	2023		Everyday language input and production in 1,001 children from six continents
bergelson_at_2012	reuse	BergelsonSwingley2012	doi	2012	10.1073/pnas.1113380109	At 6–9 months, human infants know the meanings of many common nouns
BerkoGleason1958	add	BerkoGleason1958	no_match_after_three_passes	1958	10.1080/00437956.1958.11659661	The Child's Learning of {E}nglish Morphology
Best1988	add	Best1988	no_match_after_three_passes	1988		Examination of perceptual reorganization for nonnative speech contrasts: Zulu click discrimination by English-speaking adults and infants
bodur_chico_2021	reuse	bodur2021chico	title+first_author+year	2021	10.1145/3461615.3485399	{ChiCo}: {A} {Multimodal} {Corpus} for the {Study} of {Child} {Conversation}
brown2020language	reuse	Brown2020	title+first_author+year	2020		Language models are few-shot learners
buck2014n	add	buck2014n	no_match_after_three_passes	2014		N-gram Counts and Language Models from the Common Crawl.
byers2022six	add	byers2022six	no_match_after_three_passes	2022		Six solutions for more reliable infant research
chang2022word	reuse	Chang2022	title+first_author+year	2022		Word acquisition in neural language models
chater2006probabilistic	add	Chater2008	manual_metadata_repair_after_no_strict_match	2006	10.1016/j.tics.2006.05.006	Probabilistic models of language processing and acquisition
Cotterell2017	add	Cotterell2017	no_match_after_three_passes	2017		Paradigm Completion for Derivational Morphology
cristia2020accuracy	add	cristia2020accuracy	no_match_after_three_passes	2020		Accuracy of the language environment analysis system segmentation and metrics: A systematic review
Csibra2009	add	Csibra2009	no_match_after_three_passes	2009		Natural pedagogy
DeBolt2020	add	DeBolt2020	no_match_after_three_passes	2020		Robust data and power in infant research: A case study of the effect of number of infants and number of trials in visual preference procedures
dodge2020fine	add	dodge2020fine	no_match_after_three_passes	2020		Fine-tuning pretrained language models: Weight initializations, data orders, and early stopping
Dunbar2017	add	Dunbar2017	no_match_after_three_passes	2017		The zero resource speech challenge 2017
dunbar2021zero	add	dunbar2021zero	no_match_after_three_passes	2021		The Zero Resource Speech Challenge 2021: Spoken language modelling
dupoux2018cognitive	reuse	dupoux2018cognitive	exact_key	2018		Cognitive science in the era of artificial intelligence: A roadmap for reverse-engineering the infant language-learner
Eimas1971	add	Eimas1971	no_match_after_three_passes	1971		Speech Perception in Infants
Elman1990	add	Elman1990	no_match_after_three_passes	1990	10.1207/s15516709cog1402_1	Finding structure in time
Elman1991	add	Elman1991	no_match_after_three_passes	1991		Distributed representations, simple recurrent networks, and grammatical structure
engelmann2019input	add	ENGELMANN201930	manual_metadata_repair_after_no_strict_match	2019	10.1016/j.cogpsych.2019.02.001	How the input shapes the acquisition of verb morphology: Elicited production and computational modelling in two highly inflected languages
evanson2023language	reuse	Evanson2023	title+first_author+year	2023		Language acquisition: do children and language models follow similar learning stages?
feng2024child	reuse	feng2024child	exact_key	2024		Is child-directed speech effective training data for language models?
fenson1994variability	reuse	fenson1994variability	exact_key	1994		Variability in early communicative development
ficarra2025distributional	add	ficarra2025distributional	no_match_after_three_passes	2025		A distributional perspective on word learning in neural language models
frank2015erp	add	frank2015erp	no_match_after_three_passes	2015		The ERP response to the amount of information conveyed by words in sentences
frank2023baby	reuse	Frank2023	title+first_author+year	2023		Baby steps in evaluating the capacities of large language models
friedrich2006early	add	friedrich2006early	no_match_after_three_passes	2006		Early N400 development and later language acquisition
gervain2012binding	add	berent2012binding	manual_metadata_repair_after_no_strict_match	2012	10.1162/jocn_a_00157	Binding at birth: The newborn brain detects identity relations and sequential position in speech
goumri_chica_2024	reuse	goumri2024chica	title+first_author+year	2024		{CHICA}: {A} {Developmental} {Corpus} of {Child}-{Caregiver}'s {Face}-to-face vs. {Video} {Call} {Conversations} in {Middle} {Childhood}
grafestes2013prosody	add	GrafEstes2012	manual_metadata_repair_after_no_strict_match	2013	10.1111/infa.12006	Infant-directed prosody helps infants map sounds to meanings
gu2025ecolang	add	gu2025ecolang	no_match_after_three_passes	2025		The ECOLANG Multimodal Corpus of adult-child and adult-adult Language
haga2024babylm	add	haga2024babylm	no_match_after_three_passes	2024		BabyLM challenge: Exploring the effect of variation sets on language model training efficiency
hale2001probabilistic	add	hale2001probabilistic	no_match_after_three_passes	2001		A probabilistic Earley parser as a psycholinguistic model
hart1992american	add	hart1992american	no_match_after_three_passes	1992		American parenting of language-learning children: Persisting differences in family-child interactions observed in natural home environments.
houston2004distinguishing	add	houston2004distinguishing	no_match_after_three_passes	2004		Distinguishing novelty and familiarity effects in infant preference procedures
Hu2020	add	Hu2020	no_match_after_three_passes	2020		A systematic assessment of syntactic generalization in neural language models
hu2024findings	reuse	Choshen2024; Hu2024	title+first_author+year	2024		Findings of the Second BabyLM Challenge: Sample-Efficient Pretraining on Developmentally Plausible Corpora
huebner2021babyberta	reuse	Huebner2021	title+first_author+year	2021		BabyBERTa: Learning more grammar with small-scale child-directed language
hunter1988multifactor	add	hunter1988multifactor	no_match_after_three_passes	1988		A multifactor model of infant preferences for novel and familiar stimuli.
Kaplan2020	add	Kaplan2020	no_match_after_three_passes	2020	10.48550/arXiv.2001.08361	Scaling Laws for Neural Language Models
kauf2023event	add	kauf2023event	no_match_after_three_passes	2023		Event knowledge in large language models: the gap between the impossible and the unlikely
kim2021morphology	add	Seidl2021	manual_metadata_repair_after_no_strict_match	2021	10.1111/desc.13089	{6}-month-olds are sensitive to English morphology
kosinski2024evaluating	add	Kosinski2023; Kosinski2023b	manual_metadata_repair_after_no_strict_match	2024	10.1073/pnas.2405460121	Evaluating large language models in theory of mind tasks
kucharsky2024habituation	add	kucharsky2024habituation	no_match_after_three_passes	2024		Habituation, part II. Rethinking the habituation paradigm
Kuhl1992	add	Kuhl1992	no_match_after_three_passes	1992		Linguistic experience alters phonetic perception in infants by 6 months of age
Kuhl2006	add	Kuhl2006	no_match_after_three_passes	2006		Infants show a facilitation effect for native language phonetic perception between 6 and 12 months
Lany2011	add	Lany2011	no_match_after_three_passes	2011	10.1080/15475441.2011.579840	Interactions between Statistical and Semantic Information in Infant Word Learning
